"NUMBER","ENGLISH","CONCEPTICON_ID","CONCEPTICON_GLOSS","SIMILARITY"
"227","straight","1404","STRAIGHT","2"
"228","suck","1421","SUCK","2"
"229","sun","1343","SUN","2"
"230","swell","1573","SWELL","2"
"231","swim","1439","SWIM","2"
"232","tail","1220","TAIL","2"
"233","take","1749","TAKE","2"
"234","tall","711","TALL","2"
"235","ten","1515","TEN","2"
"236","that","78","THAT","2"
"237","there","1937","THERE","2"
"238","they","817","THEY","2"
"239","thick","1244","THICK","2"
"240","thigh","800","THIGH","2"
"241","thin","2308","THIN","2"
"242","think","1415","THINK (REFLECT)","2"
"243","this","1214","THIS","2"
"244","three","492","THREE","2"
"245","throw","1456","THROW","2"
"246","tie","1917","TIE","2"
"247","tiger","846","TIGER","2"
"248","tongue","1205","TONGUE","2"
"249","tooth","1380","TOOTH","2"
"250","tree","906","TREE","2"
"251","turn","1588","TURN","2"
"252","twenty","1710","TWENTY","2"
"253","two","1498","TWO","2"
"254","vomit","1278","VOMIT","2"
"255","walk","1443","WALK","2"
"256","want","1784","WANT","2"
"257","wash","1453","WASH","2"
"258","water","948","WATER","2"
"259","we","1212","WE","2"
"260","weep","1839","CRY","2"
"261","wet","1726","WET","2"
"262","what?","1236","WHAT","2"
"263","when?","1238","WHEN","2"
"264","where?","1237","WHERE","2"
"265","white","1335","WHITE","2"
"266","who?","1235","WHO","2"
"267","wide","1243","WIDE","2"
"268","wife","1199","WIFE","2"
"269","wind","960","WIND","2"
"270","wing","1257","WING","2"
"271","wipe","1454","WIPE","2"
"272","with","1340","WITH","2"
"273","woman","962","WOMAN","2"
"274","work","1086","WORK (ACTIVITY)","2"
"275","worm","1219","WORM","2"
"276","year","1226","YEAR","2"
"277","yellow","1424","YELLOW","2"
"278","yngr.sibl.","427","YOUNGER SIBLING",""
"279","you (pl)","1213","YOU","2"
"280","you (sg)","1215","THOU","2"
