ID,Name,Glottocode,SubGroup,Family
Chinbon,Chinbon,chin1478,Chin,Sino-Tibetan
Daai,Daai,daai1236,Chin,Sino-Tibetan
Khumi,Khumi,khum1248,Chin,Sino-Tibetan
Matu,Matu,ngal1291,Chin,Sino-Tibetan
Mkaang,Mkaang,lamk1238,Chin,Sino-Tibetan
Ngmuun,Ngmüün,munc1235,Chin,Sino-Tibetan
Nyhmoye,Nyhmoye,chin1478,Chin,Sino-Tibetan
Wakung,Wakung,mroc1235,Chin,Sino-Tibetan

