LEXEME,REPLACEMENT
ŋ ̩◦laːm,ŋ◦laːm
tu ́ⁱnú,tuinu
ŋ ̩pɣʰïŋ,ŋpɣʰïŋ
m ̩lɔʔ,mlɔʔ
tu ́ⁱ|,tui
tu ́ⁱ|◦lɔŋ.nú,tui
ʔkʰa◦mu ́,ʔkʰa◦mu
tu ́ⁱnú,tuinu
ŋ ̩plʰiŋ,ŋplʰiŋ
tu ́ⁱ|,tui
kʰɔnamɗɛ ̂k,kʰɔnamɗɛk
sala.mɗɛ ̂k,sala.mɗɛk
tu ́ⁱnú,tuinu
ŋ ̩pʰit,ŋpʰit
m ̩lɔʔ,mlɔʔ
tu ́ⁱ|,tui
