ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup
Chinbon,Chinbon,chin1478,Chinbon Chin,cnb,Eurasia,20.0776,94.0506,Sino-Tibetan,Chin
Daai,Daai,daai1236,Daai Chin,dao,Eurasia,20.7347,93.7853,Sino-Tibetan,Chin
Khumi,Khumi,khum1248,Khumi Chin,cnk,Eurasia,22.87125,92.9894633333,Sino-Tibetan,Chin
Matu,Matu,ngal1291,Nga La,hlt,Eurasia,23.312,92.83,Sino-Tibetan,Chin
Mkaang,Mkaang,lamk1238,Lamkang,lmk,Eurasia,24.1523,94.2706,Sino-Tibetan,Chin
Ngmuun,Ngmüün,munc1235,Mün Chin,mwq,Eurasia,20.289,94.3929,Sino-Tibetan,Chin
Nyhmoye,Nyhmoye,chin1478,Chinbon Chin,cnb,Eurasia,20.0776,94.0506,Sino-Tibetan,Chin
Wakung,Wakung,mroc1235,Mro Chin,cmr,Eurasia,19.71,93.995,Sino-Tibetan,Chin
