ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Daai-208_sky-1,,Daai,208_sky,ʔkʰaːn.kʰɔ,ʔkʰaːn.kʰɔ,ˀkʰ aː n + kʰ ɔ,,SoHartmann1988,,,^ʔkʰ aː n.kʰ ɔ$,default
Daai-37_cloud-1,,Daai,37_cloud,ŋmeⁱ,ŋmeⁱ,ŋ m eⁱ/ei,,SoHartmann1988,,,^ŋ m eⁱ$,default
Daai-229_sun-1,,Daai,229_sun,kʰɔmik,kʰɔmik,kʰ ɔ m i k,,SoHartmann1988,,,^kʰ ɔ m i k$,default
Daai-142_moon-1,,Daai,142_moon,maʔkɣʰa,maʔkɣʰa,m a ˀkɣʰ a,,SoHartmann1988,,,^m a ʔkɣʰ a$,default
Daai-225_star-1,,Daai,225_star,aːi◦sʰi,aːi◦sʰi,aː i + sʰ i,,SoHartmann1988,,,^aː i ◦ sʰ i$,default
Daai-269_wind-1,,Daai,269_wind,kʰɔkʰi,kʰɔkʰi,kʰ ɔ kʰ i,,SoHartmann1988,,,^kʰ ɔ kʰ i$,default
Daai-172_rain-1,,Daai,172_rain,kʰɔʔa,kʰɔʔa,kʰ ɔ ʔ a,,SoHartmann1988,,,^kʰ ɔ ʔ a$,default
Daai-173_rainbow-1,,Daai,173_rainbow,ja.pi,ja.pi,j a + p i,,SoHartmann1988,,,^j a.p i$,default
Daai-140_mist-1,,Daai,140_mist,kʰɔjiːn,kʰɔjiːn,kʰ ɔ j iː n,,SoHartmann1988,,,^kʰ ɔ j iː n$,default
Daai-155_night-1,,Daai,155_night,mtʰan,mtʰan,m tʰ a n,,SoHartmann1988,,,^m tʰ a n$,default
Daai-50_day-1,,Daai,50_day,mɴïːp,mɴïːp,m ɴ ïː/ɨː p,,SoHartmann1988,,,^m ɴ ïː p$,default
Daai-276_year-1,,Daai,276_year,kʰɔ◦kum,kʰɔ◦kum,kʰ ɔ + k u m,,SoHartmann1988,,,^kʰ ɔ ◦ k u m$,default
Daai-102_hail-1,,Daai,102_hail,ɣɛɣɔʔ,ɣɛɣɔʔ,ɣ ɛ ɣ ɔ ʔ,,SoHartmann1988,,,^ɣ ɛ ɣ ɔ ʔ$,default
Daai-215_snow-1,,Daai,215_snow,ɴaːŋ,ɴaːŋ,ɴ aː ŋ,,SoHartmann1988,,,^ɴ aː ŋ$,default
Daai-258_water-1,,Daai,258_water,tu ́ⁱ|,tui,t ui,,SoHartmann1988,,,^t ui $,default
Daai-181_river-1,,Daai,181_river,tu ́ⁱnú,tuinu,t ui n u,,SoHartmann1988,,,^t ui n u$,default
Daai-126_lake-1,,Daai,126_lake,túⁱli,túⁱli,t úⁱ/ui l i,,SoHartmann1988,,,^t úⁱ l i$,default
Daai-193_sea-1,,Daai,193_sea,mlik.tuⁱ,mlik.tuⁱ,m l i k + t uⁱ/ui,,SoHartmann1988,,,^m l i k.t uⁱ$,default
Daai-65_earth-1,,Daai,65_earth,kʰɔmɗɛk,kʰɔmɗɛk,kʰ ɔ m ɗ ɛ k,,SoHartmann1988,,,^kʰ ɔ m ɗ ɛ k$,default
Daai-226_stone-1,,Daai,226_stone,lúŋ,lúŋ,l ú/u ŋ,,SoHartmann1988,,,^l ú ŋ$,default
Daai-190_sand-1,,Daai,190_sand,mɗiˀ,mɗiˀ,m ɗ i ʔ,,SoHartmann1988,,,^m ɗ iˀ$,default
Daai-148_mud-1,,Daai,148_mud,lɔk,lɔk,l ɔ k,,SoHartmann1988,,,^l ɔ k$,default
Daai-63_dust-1,,Daai,63_dust,mput,mput,m p u t,,SoHartmann1988,,,^m p u t$,default
Daai-97_gold-1,,Daai,97_gold,xïⁱ,xïⁱ,x ïⁱ/ɨi,,SoHartmann1988,,,^x ïⁱ$,default
Daai-203_silver-1,,Daai,203_silver,ŋuⁱ,ŋuⁱ,ŋ uⁱ/ui,,SoHartmann1988,,,^ŋ uⁱ$,default
Daai-146_mountain-1,,Daai,146_mountain,msuːŋ,msuːŋ,m s uː ŋ,,SoHartmann1988,,,^ms uː ŋ$,default
Daai-250_tree-1,,Daai,250_tree,tʰiŋ.ɗuŋ,tʰiŋ.ɗuŋ,tʰ i ŋ + ɗ u ŋ,,SoHartmann1988,,,^tʰ i ŋ . ɗ u ŋ$,default
Daai-91_forest-1,,Daai,91_forest,mɔ́,mɔ́,m ɔ/ɔ,,SoHartmann1988,,,^m ɔ́$,default
Daai-129_leaf-1,,Daai,129_leaf,ɴaˀ,ɴaˀ,ɴ aˀ,,SoHartmann1988,,,^ɴ aˀ$,default
Daai-16_bark-1,,Daai,16_bark,hɔk,hɔk,h ɔ k,,SoHartmann1988,,,^h ɔ k$,default
Daai-88_flower-1,,Daai,88_flower,paːⁱ◦paːⁱ,paːⁱ◦paːⁱ,p aːⁱ/aːi + p aːⁱ/aːi,,SoHartmann1988,,,^p aːⁱ ◦ p aːⁱ$,default
Daai-184_root-1,,Daai,184_root,pɣá,pɣá,p ɣ á/a,,SoHartmann1988,,,^p ɣ á$,default
Daai-94_fruit-1,,Daai,94_fruit,ˀtʰeⁱˀ,ˀtʰeⁱˀ,ˀtʰ eⁱ/ei ʔ,,SoHartmann1988,,,^ˀtʰ eⁱˀ$,default
Daai-195_seed-1,,Daai,195_seed,uⁱ,uⁱ,uⁱ/ui,,SoHartmann1988,,,^uⁱ$,default
Daai-100_grass-1,,Daai,100_grass,mpɣʰɔ́,mpɣʰɔ́,m p ɣʰ ɔ/ɔ,,SoHartmann1988,,,^m p ɣʰ ɔ́$,default
Daai-26_branch-1,,Daai,26_branch,tʰiŋ.mtɔ́n,tʰiŋ.mtɔ́n,tʰ i ŋ + m t ɔ́/ɔ n,,SoHartmann1988,,,^tʰ i ŋ . m t ɔ́ n$,default
Daai-15_banana-1,,Daai,15_banana,ɴampɔ,ɴampɔ,ɴ a m p ɔ,,SoHartmann1988,,,^ɴ a m p ɔ$,default
Daai-175_rattan-1,,Daai,175_rattan,muːⁱ,muːⁱ,m uːⁱ/uːi,,SoHartmann1988,,,^m uːⁱ$,default
Daai-163_papaya-1,,Daai,163_papaya,sʰaˀkʰáˀtʰeⁱˀ,sʰaˀkʰáˀtʰeⁱˀ,sʰ a ʔ kʰ á/a ʔ tʰ eⁱ/ei ʔ,,SoHartmann1988,,,^sʰ aˀ kʰ áˀ tʰ eⁱˀ$,default
Daai-20_bird-1,,Daai,20_bird,ˀkʰá,ˀkʰá,ˀkʰ á/a,,SoHartmann1988,,,^ˀkʰ á$,default
Daai-270_wing-1,,Daai,270_wing,ŋpɣʰa,ŋpɣʰa,ŋ̍ p ɣʰ a,,SoHartmann1988,,,^ŋp ɣʰ a$,default
